B,P,C,X,N,Time
5,1,1,0,1,10.531910
5,1,5,0,1,10.522675
5,5,1,0,1,2.175831
5,5,5,0,1,2.193568
10,1,1,0,1,10.503525
10,1,5,0,1,10.515088
10,1,10,0,1,10.522188
10,5,1,0,1,2.171866
10,5,5,0,1,2.176886
10,5,10,0,1,2.179651
10,10,1,0,1,1.146919
10,10,5,0,1,1.149464
10,10,10,0,1,1.153611
5,1,1,200,1,10.508480
5,1,5,200,1,10.511941
5,5,1,200,1,10.086789
5,5,5,200,1,2.188877
10,1,1,200,1,10.503421
10,1,5,200,1,10.511761
10,1,10,200,1,10.512270
10,5,1,200,1,10.091244
10,5,5,200,1,2.173301
10,5,10,200,1,2.178706
10,10,1,200,1,10.086179
10,10,5,200,1,2.083929
10,10,10,200,1,1.148988
5,1,1,400,1,20.071433
5,1,5,400,1,10.500411
5,5,1,400,1,20.074086
5,5,5,400,1,4.070850
10,1,1,400,1,20.074466
10,1,5,400,1,10.505635
10,1,10,400,1,10.504685
10,5,1,400,1,20.075563
10,5,5,400,1,4.070328
10,5,10,400,1,2.188732
10,10,1,400,1,20.081495
10,10,5,400,1,4.072841
10,10,10,400,1,2.069440
